country,region,happiness_rank,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,corruption_perception,generosity
Finland,Northern Europe,1,7.769,1.34,1.587,0.986,0.596,0.393,0.153
Denmark,Northern Europe,2,7.6,1.383,1.573,0.996,0.592,0.41,0.252
Norway,Northern Europe,3,7.554,1.488,1.582,1.028,0.603,0.341,0.271
Iceland,Northern Europe,4,7.494,1.38,1.624,1.026,0.591,0.118,0.354
Netherlands,Western Europe,5,7.488,1.396,1.522,0.999,0.557,0.298,0.322
Switzerland,Western Europe,6,7.48,1.452,1.526,1.052,0.572,0.343,0.263
Sweden,Northern Europe,7,7.343,1.387,1.487,1.009,0.574,0.373,0.267
New Zealand,Australia and New Zealand,8,7.307,1.303,1.557,1.026,0.585,0.38,0.33
Canada,Northern America,9,7.278,1.365,1.505,1.039,0.584,0.308,0.285
Austria,Western Europe,10,7.246,1.376,1.475,1.016,0.532,0.226,0.244
Australia,Australia and New Zealand,11,7.228,1.372,1.548,1.036,0.557,0.29,0.332
Costa Rica,Central America,12,7.167,1.034,1.441,0.963,0.558,0.093,0.144
Israel,Western Asia,13,7.139,1.276,1.455,1.029,0.371,0.082,0.261
Luxembourg,Western Europe,14,7.09,1.609,1.479,1.012,0.526,0.316,0.194
United Kingdom,Northern Europe,15,7.054,1.333,1.538,0.996,0.45,0.278,0.348
Ireland,Northern Europe,16,7.021,1.499,1.553,0.999,0.516,0.31,0.298
Germany,Western Europe,17,6.985,1.373,1.454,0.987,0.495,0.265,0.261
Belgium,Western Europe,18,6.923,1.356,1.504,0.986,0.473,0.21,0.16
United States,Northern America,19,6.892,1.433,1.457,0.874,0.454,0.128,0.28
Czech Republic,Eastern Europe,20,6.852,1.269,1.487,0.92,0.457,0.036,0.046
United Arab Emirates,Western Asia,21,6.825,1.503,1.31,0.825,0.598,0.182,0.262
Malta,Southern Europe,22,6.726,1.3,1.52,0.999,0.564,0.151,0.375
Mexico,Central America,23,6.595,1.07,1.323,0.861,0.433,0.073,0.074
France,Western Europe,24,6.592,1.324,1.472,1.045,0.436,0.183,0.111
Taiwan,Eastern Asia,25,6.446,1.368,1.43,0.914,0.351,0.097,0.242
Chile,South America,26,6.444,1.159,1.369,0.92,0.357,0.056,0.187
Guatemala,Central America,27,6.436,0.8,1.269,0.746,0.535,0.078,0.175
Saudi Arabia,Western Asia,28,6.375,1.403,1.357,0.795,0.439,0.132,0.08
Qatar,Western Asia,29,6.374,1.684,1.313,0.871,0.555,0.167,0.22
Spain,Southern Europe,30,6.354,1.286,1.484,1.062,0.362,0.079,0.153
Panama,Central America,31,6.321,1.149,1.442,0.91,0.516,0.054,0.109
Brazil,South America,32,6.3,1.004,1.439,0.802,0.39,0.086,0.099
Uruguay,South America,33,6.293,1.124,1.465,0.891,0.523,0.15,0.127
Singapore,South-Eastern Asia,34,6.262,1.572,1.463,1.141,0.556,0.453,0.271
El Salvador,Central America,35,6.253,0.794,1.242,0.789,0.43,0.074,0.093
Italy,Southern Europe,36,6.223,1.294,1.488,1.039,0.231,0.03,0.158
Bahrain,Western Asia,37,6.199,1.362,1.368,0.871,0.536,0.11,0.255
Slovakia,Eastern Europe,38,6.198,1.246,1.504,0.881,0.334,0.014,0.121
Trinidad & Tobago,Caribbean,39,6.192,1.231,1.477,0.713,0.489,0.016,0.185
Poland,Eastern Europe,40,6.182,1.206,1.438,0.884,0.483,0.05,0.117
Uzbekistan,Central Asia,41,6.174,0.745,1.529,0.756,0.631,0.24,0.322
Lithuania,Northern Europe,42,6.149,1.238,1.515,0.818,0.291,0.042,0.043
Colombia,South America,43,6.125,0.985,1.41,0.841,0.47,0.034,0.099
Slovenia,Southern Europe,44,6.118,1.258,1.523,0.953,0.564,0.057,0.144
Nicaragua,Central America,45,6.105,0.694,1.325,0.835,0.435,0.127,0.2
Kosovo,Southern Europe,46,6.1,0.882,1.232,0.758,0.489,0.006,0.262
Argentina,South America,47,6.086,1.092,1.432,0.881,0.471,0.05,0.066
Romania,Eastern Europe,48,6.07,1.162,1.232,0.825,0.462,0.005,0.083
Cyprus,Western Asia,49,6.046,1.263,1.223,1.042,0.406,0.041,0.19
Ecuador,South America,50,6.028,0.912,1.312,0.868,0.498,0.087,0.126
Kuwait,Western Asia,51,6.021,1.5,1.319,0.808,0.493,0.097,0.142
Thailand,South-Eastern Asia,52,6.008,1.05,1.409,0.828,0.557,0.028,0.359
Latvia,Northern Europe,53,5.94,1.187,1.465,0.812,0.264,0.064,0.075
South Korea,Eastern Asia,54,5.895,1.301,1.219,1.036,0.159,0.056,0.175
Estonia,Northern Europe,55,5.893,1.237,1.528,0.874,0.495,0.161,0.103
Jamaica,Caribbean,56,5.89,0.831,1.478,0.831,0.49,0.028,0.107
Mauritius,Eastern Africa,57,5.888,1.12,1.402,0.798,0.498,0.06,0.215
Japan,Eastern Asia,58,5.886,1.327,1.419,1.088,0.445,0.14,0.069
Honduras,Central America,59,5.86,0.642,1.236,0.828,0.507,0.078,0.246
Kazakhstan,Central Asia,60,5.809,1.173,1.508,0.729,0.41,0.096,0.146
Bolivia,South America,61,5.779,0.776,1.209,0.706,0.511,0.064,0.137
Hungary,Eastern Europe,62,5.758,1.201,1.41,0.828,0.199,0.02,0.081
Paraguay,South America,63,5.743,0.855,1.475,0.777,0.514,0.08,0.184
North Cyprus,Western Asia,64,5.718,1.263,1.252,1.042,0.417,0.162,0.191
Peru,South America,65,5.697,0.96,1.274,0.854,0.455,0.027,0.083
